"","document","term","count","sentiment"
"1","1","advantage",2,"positive"
"2","1","advocate",1,"positive"
"3","1","afraid",1,"negative"
"4","1","amazing",1,"positive"
"5","1","approval",1,"positive"
"6","1","attack",5,"negative"
"7","1","attacks",1,"negative"
"8","1","available",1,"positive"
"9","1","bad",3,"negative"
"10","1","benefit",1,"positive"
"11","1","bent",1,"negative"
"12","1","best",2,"positive"
"13","1","better",6,"positive"
"14","1","bias",1,"negative"
"15","1","biased",1,"negative"
"16","1","blind",1,"negative"
"17","1","bolster",1,"positive"
"18","1","bomb",3,"negative"
"19","1","boycott",1,"negative"
"20","1","brave",1,"positive"
"21","1","brilliant",1,"positive"
"22","1","broke",1,"negative"
"23","1","bullshit",2,"negative"
"24","1","calm",1,"positive"
"25","1","capability",3,"positive"
"26","1","casualty",1,"negative"
"27","1","clearly",2,"positive"
"28","1","colorful",1,"positive"
"29","1","concerned",1,"negative"
"30","1","conflict",1,"negative"
"31","1","consistently",1,"positive"
"32","1","conspiracy",1,"negative"
"33","1","contamination",1,"negative"
"34","1","contradict",1,"negative"
"35","1","crack",1,"negative"
"36","1","crap",1,"negative"
"37","1","crazy",1,"negative"
"38","1","crime",1,"negative"
"39","1","critical",2,"negative"
"40","1","damage",3,"negative"
"41","1","damaged",1,"negative"
"42","1","damn",1,"negative"
"43","1","damning",1,"negative"
"44","1","dead",3,"negative"
"45","1","defamation",1,"negative"
"46","1","delay",3,"negative"
"47","1","delayed",1,"negative"
"48","1","denial",1,"negative"
"49","1","denied",2,"negative"
"50","1","denying",3,"negative"
"51","1","died",1,"negative"
"52","1","dies",1,"negative"
"53","1","difficult",1,"negative"
"54","1","doubt",3,"negative"
"55","1","dud",4,"negative"
"56","1","dying",1,"negative"
"57","1","effective",1,"positive"
"58","1","embarrassing",1,"negative"
"59","1","encourage",1,"positive"
"60","1","enemies",1,"negative"
"61","1","enemy",4,"negative"
"62","1","entertain",1,"positive"
"63","1","euphoria",1,"positive"
"64","1","exaggeration",1,"negative"
"65","1","excellent",1,"positive"
"66","1","excuse",1,"negative"
"67","1","failed",1,"negative"
"68","1","fair",1,"positive"
"69","1","faith",2,"positive"
"70","1","faithfully",1,"positive"
"71","1","fake",3,"negative"
"72","1","fall",1,"negative"
"73","1","false",1,"negative"
"74","1","faster",1,"positive"
"75","1","fat",1,"negative"
"76","1","fault",2,"negative"
"77","1","fear",1,"negative"
"78","1","fiasco",1,"negative"
"79","1","free",1,"positive"
"80","1","fuck",1,"negative"
"81","1","fucking",1,"negative"
"82","1","funny",1,"negative"
"83","1","glad",1,"positive"
"84","1","glorify",1,"positive"
"85","1","good",5,"positive"
"86","1","goodwill",2,"positive"
"87","1","grateful",1,"positive"
"88","1","great",2,"positive"
"89","1","happiness",1,"positive"
"90","1","hard",3,"negative"
"91","1","hate",2,"negative"
"92","1","hell",3,"negative"
"93","1","helped",1,"positive"
"94","1","hero",4,"positive"
"95","1","hilarious",1,"positive"
"96","1","hostility",1,"negative"
"97","1","hug",1,"positive"
"98","1","hum",1,"negative"
"99","1","hurt",1,"negative"
"100","1","ignore",1,"negative"
"101","1","immature",1,"negative"
"102","1","improved",1,"positive"
"103","1","inconvenience",1,"negative"
"104","1","inferior",1,"negative"
"105","1","intelligence",1,"positive"
"106","1","isolate",1,"negative"
"107","1","issues",1,"negative"
"108","1","kill",3,"negative"
"109","1","killed",6,"negative"
"110","1","killing",1,"negative"
"111","1","kills",1,"negative"
"112","1","lead",1,"positive"
"113","1","liar",1,"negative"
"114","1","liars",2,"negative"
"115","1","lie",2,"negative"
"116","1","lied",9,"negative"
"117","1","lies",1,"negative"
"118","1","limited",2,"negative"
"119","1","loose",1,"negative"
"120","1","lose",1,"negative"
"121","1","loss",3,"negative"
"122","1","lost",3,"negative"
"123","1","lying",3,"negative"
"124","1","manipulation",1,"negative"
"125","1","mirage",1,"negative"
"126","1","missed",1,"negative"
"127","1","modern",2,"positive"
"128","1","nice",1,"positive"
"129","1","object",1,"negative"
"130","1","obsolete",1,"negative"
"131","1","openly",2,"positive"
"132","1","outbreak",1,"negative"
"133","1","pariah",1,"negative"
"134","1","peace",4,"positive"
"135","1","peaceful",1,"positive"
"136","1","perfect",2,"positive"
"137","1","plot",2,"negative"
"138","1","pointless",1,"negative"
"139","1","pretty",1,"positive"
"140","1","prisoner",1,"negative"
"141","1","problems",1,"negative"
"142","1","propaganda",2,"negative"
"143","1","proud",1,"positive"
"144","1","proven",1,"positive"
"145","1","proving",1,"positive"
"146","1","ready",3,"positive"
"147","1","reasonable",1,"positive"
"148","1","refused",1,"negative"
"149","1","refusing",1,"negative"
"150","1","respect",1,"positive"
"151","1","restricted",1,"negative"
"152","1","retreat",1,"negative"
"153","1","revolting",1,"negative"
"154","1","right",5,"positive"
"155","1","rival",1,"negative"
"156","1","rogue",1,"negative"
"157","1","sacrificed",1,"negative"
"158","1","sad",1,"negative"
"159","1","scarcely",1,"negative"
"160","1","sensible",1,"positive"
"161","1","severe",1,"negative"
"162","1","shady",1,"negative"
"163","1","shit",3,"negative"
"164","1","shortage",2,"negative"
"165","1","skeptical",1,"negative"
"166","1","slow",1,"negative"
"167","1","slowly",1,"negative"
"168","1","smart",1,"positive"
"169","1","staunchly",1,"positive"
"170","1","strike",3,"negative"
"171","1","strong",1,"positive"
"172","1","stronger",1,"positive"
"173","1","stuck",1,"negative"
"174","1","stupid",1,"negative"
"175","1","succeed",1,"positive"
"176","1","success",2,"positive"
"177","1","sued",1,"negative"
"178","1","suffering",1,"negative"
"179","1","suffice",1,"positive"
"180","1","superior",1,"positive"
"181","1","support",3,"positive"
"182","1","supports",1,"positive"
"183","1","suspect",1,"negative"
"184","1","sweeping",1,"positive"
"185","1","tense",2,"negative"
"186","1","tension",1,"negative"
"187","1","terrible",1,"negative"
"188","1","terrorism",1,"negative"
"189","1","thank",1,"positive"
"190","1","thankful",2,"positive"
"191","1","torture",1,"negative"
"192","1","tortured",2,"negative"
"193","1","trouble",1,"negative"
"194","1","trust",6,"positive"
"195","1","undermined",1,"negative"
"196","1","unreal",1,"positive"
"197","1","unsuccessful",1,"negative"
"198","1","upgraded",1,"positive"
"199","1","valor",1,"positive"
"200","1","victory",1,"positive"
"201","1","well",6,"positive"
"202","1","wonder",1,"positive"
"203","1","work",4,"positive"
"204","1","works",1,"positive"
"205","1","worried",1,"negative"
"206","1","worrisome",1,"negative"
"207","1","worse",2,"negative"
"208","1","worst",1,"negative"
"209","1","worth",2,"positive"
"210","1","wow",1,"positive"
"211","1","wrong",2,"negative"
