"","document","term","count","sentiment"
"1","1","advantage",2,"positive"
"2","1","aggressor",1,"negative"
"3","1","amazing",1,"positive"
"4","1","approval",1,"positive"
"5","1","attack",8,"negative"
"6","1","attacks",3,"negative"
"7","1","available",1,"positive"
"8","1","bad",3,"negative"
"9","1","baseless",1,"negative"
"10","1","believable",1,"positive"
"11","1","benefit",1,"positive"
"12","1","bent",1,"negative"
"13","1","best",1,"positive"
"14","1","better",8,"positive"
"15","1","biased",1,"negative"
"16","1","blind",1,"negative"
"17","1","bolster",1,"positive"
"18","1","bomb",3,"negative"
"19","1","boycott",1,"negative"
"20","1","brave",1,"positive"
"21","1","brilliant",1,"positive"
"22","1","bullshit",2,"negative"
"23","1","calm",1,"positive"
"24","1","capability",3,"positive"
"25","1","casualty",1,"negative"
"26","1","clear",1,"positive"
"27","1","clearly",3,"positive"
"28","1","colorful",1,"positive"
"29","1","conflict",2,"negative"
"30","1","consistently",1,"positive"
"31","1","conspiracy",1,"negative"
"32","1","contamination",1,"negative"
"33","1","crack",1,"negative"
"34","1","crafty",1,"negative"
"35","1","crap",1,"negative"
"36","1","crazy",1,"negative"
"37","1","crime",1,"negative"
"38","1","critical",2,"negative"
"39","1","damage",2,"negative"
"40","1","damaged",1,"negative"
"41","1","damn",1,"negative"
"42","1","damning",2,"negative"
"43","1","dangerous",1,"negative"
"44","1","dead",2,"negative"
"45","1","defamation",1,"negative"
"46","1","delay",3,"negative"
"47","1","delayed",1,"negative"
"48","1","denial",1,"negative"
"49","1","denied",3,"negative"
"50","1","denying",4,"negative"
"51","1","died",1,"negative"
"52","1","dies",1,"negative"
"53","1","difficult",1,"negative"
"54","1","doubt",4,"negative"
"55","1","dud",4,"negative"
"56","1","effective",1,"positive"
"57","1","embarrassing",1,"negative"
"58","1","encourage",1,"positive"
"59","1","enemies",1,"negative"
"60","1","enemy",4,"negative"
"61","1","euphoria",1,"positive"
"62","1","exaggeration",1,"negative"
"63","1","excellent",1,"positive"
"64","1","failed",2,"negative"
"65","1","failure",1,"negative"
"66","1","fair",2,"positive"
"67","1","faith",2,"positive"
"68","1","fake",3,"negative"
"69","1","fall",1,"negative"
"70","1","false",1,"negative"
"71","1","famously",1,"positive"
"72","1","faster",1,"positive"
"73","1","fat",1,"negative"
"74","1","fault",1,"negative"
"75","1","fear",2,"negative"
"76","1","fuck",2,"negative"
"77","1","fucking",3,"negative"
"78","1","glad",1,"positive"
"79","1","good",5,"positive"
"80","1","goodwill",1,"positive"
"81","1","grace",2,"positive"
"82","1","grateful",1,"positive"
"83","1","great",1,"positive"
"84","1","happiness",1,"positive"
"85","1","hard",3,"negative"
"86","1","hell",2,"negative"
"87","1","helped",1,"positive"
"88","1","hero",8,"positive"
"89","1","hilarious",3,"positive"
"90","1","honesty",1,"positive"
"91","1","hostility",1,"negative"
"92","1","hug",1,"positive"
"93","1","hum",1,"negative"
"94","1","humiliate",1,"negative"
"95","1","idiotic",1,"negative"
"96","1","ignore",1,"negative"
"97","1","immature",1,"negative"
"98","1","improved",1,"positive"
"99","1","inconvenience",1,"negative"
"100","1","inferior",1,"negative"
"101","1","insecurity",1,"negative"
"102","1","intelligence",1,"positive"
"103","1","isolate",1,"negative"
"104","1","issue",1,"negative"
"105","1","issues",2,"negative"
"106","1","kill",3,"negative"
"107","1","killed",9,"negative"
"108","1","killing",5,"negative"
"109","1","kills",1,"negative"
"110","1","lack",1,"negative"
"111","1","lead",1,"positive"
"112","1","leading",1,"positive"
"113","1","leads",1,"positive"
"114","1","lethal",1,"negative"
"115","1","liar",1,"negative"
"116","1","liars",2,"negative"
"117","1","lie",1,"negative"
"118","1","lied",8,"negative"
"119","1","lies",1,"negative"
"120","1","limited",2,"negative"
"121","1","loose",1,"negative"
"122","1","lose",1,"negative"
"123","1","loss",3,"negative"
"124","1","lost",2,"negative"
"125","1","loved",1,"positive"
"126","1","loving",1,"positive"
"127","1","lying",2,"negative"
"128","1","mirage",1,"negative"
"129","1","missed",1,"negative"
"130","1","modern",2,"positive"
"131","1","needy",1,"negative"
"132","1","nice",1,"positive"
"133","1","object",1,"negative"
"134","1","obscenely",1,"negative"
"135","1","obsolete",1,"negative"
"136","1","offence",1,"negative"
"137","1","openly",1,"positive"
"138","1","opposition",1,"negative"
"139","1","outbreak",1,"negative"
"140","1","pariah",1,"negative"
"141","1","peace",4,"positive"
"142","1","peacefully",2,"positive"
"143","1","perfect",2,"positive"
"144","1","perfectly",1,"positive"
"145","1","perversely",1,"negative"
"146","1","plot",2,"negative"
"147","1","pointless",1,"negative"
"148","1","pretty",2,"positive"
"149","1","prisoner",1,"negative"
"150","1","problem",2,"negative"
"151","1","problems",1,"negative"
"152","1","propaganda",2,"negative"
"153","1","proven",1,"positive"
"154","1","proving",1,"positive"
"155","1","rational",1,"positive"
"156","1","ready",3,"positive"
"157","1","recommend",1,"positive"
"158","1","refused",1,"negative"
"159","1","refusing",1,"negative"
"160","1","respect",1,"positive"
"161","1","restricted",1,"negative"
"162","1","retaliate",1,"negative"
"163","1","retreat",1,"negative"
"164","1","revolting",1,"negative"
"165","1","right",8,"positive"
"166","1","rogue",1,"negative"
"167","1","rumours",2,"negative"
"168","1","sacrificed",1,"negative"
"169","1","sad",1,"negative"
"170","1","scarcely",1,"negative"
"171","1","sensible",2,"positive"
"172","1","severe",1,"negative"
"173","1","shit",6,"negative"
"174","1","slow",1,"negative"
"175","1","slowly",1,"negative"
"176","1","sorry",1,"negative"
"177","1","staunchly",1,"positive"
"178","1","strike",5,"negative"
"179","1","strong",1,"positive"
"180","1","stronger",1,"positive"
"181","1","stupid",2,"negative"
"182","1","succeed",1,"positive"
"183","1","success",3,"positive"
"184","1","sued",1,"negative"
"185","1","suffering",1,"negative"
"186","1","suffice",1,"positive"
"187","1","superior",1,"positive"
"188","1","support",4,"positive"
"189","1","supports",1,"positive"
"190","1","suspect",1,"negative"
"191","1","sweeping",1,"positive"
"192","1","tense",2,"negative"
"193","1","tension",1,"negative"
"194","1","terrible",1,"negative"
"195","1","terrorism",4,"negative"
"196","1","thank",1,"positive"
"197","1","threat",1,"negative"
"198","1","tortured",2,"negative"
"199","1","trouble",1,"negative"
"200","1","trust",4,"positive"
"201","1","trusted",1,"positive"
"202","1","trustworthy",1,"positive"
"203","1","undermined",1,"negative"
"204","1","unreal",1,"positive"
"205","1","unsuccessful",1,"negative"
"206","1","upgraded",1,"positive"
"207","1","valor",1,"positive"
"208","1","victory",1,"positive"
"209","1","wasted",1,"negative"
"210","1","weak",1,"negative"
"211","1","welcome",1,"positive"
"212","1","well",4,"positive"
"213","1","wonder",3,"positive"
"214","1","work",3,"positive"
"215","1","works",1,"positive"
"216","1","worried",1,"negative"
"217","1","worse",3,"negative"
"218","1","worth",1,"positive"
"219","1","wow",1,"positive"
"220","1","wrong",2,"negative"
